hour_group,UID,Valence,Arousal,Attention,Stress,Disturbance_level,Emotion_change,hour_group_str
0,1606.4270833333333,1.125,-0.6041666666666666,0.6875,-0.5208333333333334,-0.4791666666666667,0.1875,0-3
1,1589.5882352941176,0.47058823529411764,-0.7647058823529411,1.3529411764705883,0.6470588235294118,-1.0,0.17647058823529413,3-6
2,1801.1764705882354,0.8823529411764706,-0.35294117647058826,0.6470588235294118,-0.058823529411764705,-1.3529411764705883,0.23529411764705882,6-9
3,1759.3289280469896,0.41409691629955947,-0.35829662261380324,0.21145374449339208,0.016152716593245228,-0.05873715124816446,-0.10425844346549193,9-12
4,1745.2414772727273,0.6470170454545454,-0.11434659090909091,0.2819602272727273,-0.2919034090909091,-0.03196022727272727,0.020596590909090908,12-15
5,1740.2054886211513,0.5823293172690763,-0.14859437751004015,0.3607764390896921,-0.2289156626506024,0.0214190093708166,0.013386880856760375,15-18
6,1720.9122807017543,0.7543859649122807,0.056842105263157895,0.5024561403508772,-0.3480701754385965,0.016140350877192983,-0.037192982456140354,18-21
7,1728.5006242197253,0.6554307116104869,-0.031210986267166042,0.5305867665418227,-0.2009987515605493,-0.056179775280898875,-0.0686641697877653,21-24
